,index,slug,holderCount,dailyActive,topTenHolderRatio,topTwentyHolderRatio,topFiftyHolderRatio,topHundredHolderRatio
369,0,rarible,22781.0,333.0,82.12,85.32,90.05,93.33
370,0,marinade,1.0,,,,,
371,0,sentinel,0.0,30.0,,,,
372,0,shyft-network,2473.0,,87.2,91.96,96.34,98.07
373,0,atari-token,21674.0,,89.33,92.96,95.17,96.13
374,0,parsiq,15615.0,244.0,84.08,87.76,90.17,91.49
375,0,district0x,38913.0,132.0,52.53,67.9,88.19,91.7
376,0,refereum,63487.0,15.0,90.48,92.75,94.42,95.41
377,0,akropolis,14102.0,154.0,80.98,88.39,92.34,94.05
378,0,tellor,5086.0,158.0,58.42,72.37,88.11,92.64
379,0,coinloan,1232.0,,98.58,98.82,99.14,99.19
380,0,measurable-data-token,26181.0,19.0,72.2,82.62,95.52,98.23
381,0,morpheus-network,4281.0,96.0,56.21,63.6,73.18,80.07
382,0,league-of-kingdoms,187.0,,86.66,96.29,99.82,99.93
383,0,nuls,42.0,,91.79,99.09,,
384,0,mirrored-proshares-vix-short-term-futures-etf,91.0,,99.98,99.99,99.99,
385,0,valobit,2794.0,,48.66,65.8,83.51,91.84
386,0,neutrino-system-base-token,766.0,,100.0,100.0,100.0,100.0
387,0,digixdao,8576.0,11.0,,,,
388,0,strong,32430.0,350.0,98.97,99.17,99.2,99.2
389,0,mstable-usd,5401.0,,96.29,98.88,99.91,99.91
390,0,ramp,11374.0,214.0,93.85,96.19,97.27,97.81
391,0,hopr,5293.0,80.0,81.07,86.17,90.34,92.75
392,0,mirrored-ishares-gold-trust,119.0,,100.0,100.0,100.0,100.0
393,0,stafi,1750.0,68.0,90.44,95.46,98.01,98.65
394,0,latoken,4257.0,,97.37,98.08,98.59,98.82
395,0,quantstamp,44467.0,64.0,57.37,65.1,73.46,76.45
396,0,waltonchain,26096.0,4.0,82.94,86.43,89.43,90.82
397,0,yield-app,8629.0,,72.47,80.49,86.12,89.02
398,0,bella-protocol,1560.0,39.0,94.27,97.65,99.55,99.76
399,0,cyclub,253.0,,97.79,99.93,99.98,99.98
400,0,saito,8009.0,,58.55,63.73,71.45,77.17
401,0,wirex-token,462.0,,97.05,99.32,99.87,99.9
402,0,coinex-token,1920.0,,99.97,99.97,99.97,99.97
403,0,erc20,98517.0,,73.12,84.21,91.38,94.37
404,0,hackenai,362.0,,65.12,78.93,90.69,96.78
405,0,torn,7568.0,148.0,87.37,93.15,96.4,97.64
406,0,rai-finance-sofi,222.0,,95.47,99.59,99.92,99.92
407,0,bitrue-coin,309.0,0.0,99.87,99.92,99.92,99.92
408,0,revolution-populi,9292.0,,47.21,54.13,63.24,70.29
409,0,mantra-dao,7090.0,254.0,82.79,93.81,97.68,98.49
410,0,quiztok,9463.0,,91.01,94.48,99.25,99.91
411,0,lido-dao,11716.0,208.0,60.09,76.13,90.43,95.77
412,0,urus,21800.0,,70.71,79.1,86.9,91.52
413,0,nest-protocol,6877.0,32.0,92.25,95.84,97.8,98.7
414,0,selfkey,13602.0,49.0,81.78,85.31,88.2,89.8
415,0,reapchain,1393.0,,82.28,91.98,97.72,99.78
416,0,bosagora,1197.0,16.0,90.8,94.69,97.76,99.15
417,0,nftx,5023.0,113.0,66.06,75.7,84.3,89.17
418,0,frontier,9632.0,126.0,81.87,89.82,93.93,95.27
419,0,powerpool,5387.0,70.0,95.34,97.3,98.37,99.09
